run,seed,fulps_final_table_acc,base_final_table_acc,fulps_final_coverage,base_final_coverage,fulps_final_perstate,base_final_perstate,fulps_stable_tacc,base_stable_tacc,fulps_unstable_tacc,base_unstable_tacc,stable_fraction,mean_contra_rate
1,42,0.7282445430755615,0.7270460724830627,0.026353124529123306,0.026353124529123306,0.792631983757019,0.7600542306900024,0.7267342209815979,0.7266411781311035,0.7289803624153137,0.7272433638572693,0.3276,0.080944
2,43,0.7284320592880249,0.7270718812942505,0.029282812029123306,0.029282812029123306,0.7678929567337036,0.7326344847679138,0.7267717719078064,0.7266777753829956,0.729008138179779,0.7272086143493652,0.2576,0.092608
3,44,0.72845858335495,0.7271281480789185,0.028721094131469727,0.028721094131469727,0.7813321352005005,0.7463499307632446,0.7267657518386841,0.726655900478363,0.7291313409805298,0.7273157835006714,0.2844,0.095856
4,45,0.7284695506095886,0.727092981338501,0.02921171858906746,0.02921171858906746,0.7753434777259827,0.7405461072921753,0.7267271280288696,0.7266504764556885,0.7291311025619507,0.727260947227478,0.2752,0.09408000000000001
5,46,0.7284179925918579,0.7270515561103821,0.02886328101158142,0.02886328101158142,0.7817442417144775,0.7461241483688354,0.7267716526985168,0.7266793251037598,0.7290825843811035,0.7272018194198608,0.2876,0.098688
6,47,0.7283898591995239,0.7270922064781189,0.02889062464237213,0.02889062464237213,0.7707551121711731,0.7368859052658081,0.7267613410949707,0.7266823649406433,0.7289836406707764,0.7272416353225708,0.2672,0.08998400000000001
7,48,0.728447675704956,0.7270882725715637,0.029826562851667404,0.029826562851667404,0.767322838306427,0.7312523126602173,0.726804256439209,0.7266865372657776,0.72898268699646,0.7272190451622009,0.2456,0.094208
8,49,0.727956235408783,0.7270218729972839,0.02537578158080578,0.02537578158080578,0.7912609577178955,0.7666584849357605,0.7266993522644043,0.7266537547111511,0.7286620140075684,0.727228581905365,0.3596,0.07209600000000001
9,50,0.7280750274658203,0.7270593643188477,0.0250859372317791,0.0250859372317791,0.7915250062942505,0.7641393542289734,0.7267337441444397,0.7266470789909363,0.728861391544342,0.7273011207580566,0.3696,0.071104
10,51,0.7282679677009583,0.7270570397377014,0.026944531127810478,0.026944531127810478,0.7852484583854675,0.7523031234741211,0.7268333435058594,0.7267215251922607,0.7289258241653442,0.7272108793258667,0.3144,0.08630399999999999
