run,seed,fulps_final_table_acc,base_final_table_acc,fulps_final_perstate,base_final_perstate,fulps_stable_tacc,base_stable_tacc,fulps_unstable_tacc,base_unstable_tacc,fulps_final_coverage,base_final_coverage,fulps_stable_coverage,base_stable_coverage,fulps_unstable_coverage,base_unstable_coverage,fulps_mean_conv_t,base_mean_conv_t,fulps_stable_conv_t,base_stable_conv_t,fulps_unstable_conv_t,base_unstable_conv_t,fulps_conv_fraction,base_conv_fraction,stable_fraction,mean_contra_rate
1,42,0.7384960651397705,0.7291250228881836,0.8457720875740051,0.7270045876502991,0.7276655435562134,0.7268593311309814,0.7417604923248291,0.7298078536987305,0.06254062801599503,0.06254062801599503,0.02394011802971363,0.02394011802971363,0.07417502999305725,0.07417502999305725,6.783599853515625,6.783599853515625,4.544041633605957,4.544041633605957,7.458615303039551,7.458615303039551,1.0,1.0,0.2316,0.211536
2,43,0.7381117343902588,0.7290695309638977,0.8400993943214417,0.7234447598457336,0.7277207374572754,0.7269009351730347,0.7416049838066101,0.7297985553741455,0.060407813638448715,0.060407813638448715,0.025778766721487045,0.025778766721487045,0.07204953581094742,0.07204953581094742,7.744800090789795,7.744800090789795,5.551669120788574,5.551669120788574,8.482094764709473,8.482094764709473,1.0,1.0,0.2516,0.20836000000000002
3,44,0.7391577959060669,0.7290992140769958,0.8470835089683533,0.7199278473854065,0.7278842926025391,0.726902186870575,0.7421835064888,0.7296888828277588,0.06394921988248825,0.06394921988248825,0.027173912152647972,0.027173912152647972,0.07381940633058548,0.07381940633058548,7.31279993057251,7.31279993057251,5.603024482727051,5.603024482727051,7.771689414978027,7.771689414978027,1.0,1.0,0.2116,0.2267
4,45,0.7389156222343445,0.7290070056915283,0.8451226353645325,0.7172485589981079,0.7279860377311707,0.7269343733787537,0.741786003112793,0.729551374912262,0.06324609369039536,0.06324609369039536,0.02862079255282879,0.02862079255282879,0.07233960926532745,0.07233960926532745,7.888400077819824,7.888400077819824,5.5326924324035645,5.5326924324035645,8.507070541381836,8.507070541381836,1.0,1.0,0.208,0.22483599999999998
5,46,0.7373687624931335,0.7286702990531921,0.8402019739151001,0.719936728477478,0.7279912829399109,0.7269601821899414,0.7400445938110352,0.7291582822799683,0.05927812680602074,0.05927812680602074,0.026249296963214874,0.026249296963214874,0.0687028020620346,0.0687028020620346,7.747600078582764,7.747600078582764,5.2324323654174805,5.2324323654174805,8.465295791625977,8.465295791625977,1.0,1.0,0.222,0.19762800000000003
6,47,0.7367500066757202,0.7286297082901001,0.8319923877716064,0.7228763103485107,0.7276759743690491,0.7268936634063721,0.7406314611434937,0.7293722629547119,0.0561765618622303,0.0561765618622303,0.025672251358628273,0.025672251358628273,0.06922495365142822,0.06922495365142822,7.696000099182129,7.696000099182129,5.759679794311523,5.759679794311523,8.524271965026855,8.524271965026855,1.0,1.0,0.2996,0.182864
7,48,0.7406007647514343,0.7293976545333862,0.8430790305137634,0.7079747319221497,0.7280621528625488,0.7269954085350037,0.7428413033485413,0.7298269271850586,0.06975312530994415,0.06975312530994415,0.031085092574357986,0.031085092574357986,0.07666268944740295,0.07666268944740295,7.99560022354126,7.99560022354126,6.287599086761475,6.287599086761475,8.300801277160645,8.300801277160645,1.0,1.0,0.1516,0.244296
8,49,0.7413804531097412,0.7298390865325928,0.8433404564857483,0.7091638445854187,0.7276442050933838,0.7269110679626465,0.7434329986572266,0.7302765846252441,0.07350078225135803,0.07350078225135803,0.029284855350852013,0.029284855350852013,0.08010775595903397,0.08010775595903397,7.214399814605713,7.214399814605713,4.840000152587891,4.840000152587891,7.56919527053833,7.56919527053833,1.0,1.0,0.13,0.25294400000000006
9,50,0.7380507588386536,0.7289406061172485,0.8403480648994446,0.7231634259223938,0.7277945280075073,0.7268953323364258,0.7417981624603271,0.7296879291534424,0.06031406298279762,0.06031406298279762,0.025370188057422638,0.025370188057422638,0.07308164983987808,0.07308164983987808,6.771599769592285,6.771599769592285,5.370702743530273,5.370702743530273,7.283451557159424,7.283451557159424,1.0,1.0,0.2676,0.200756
10,51,0.7377984523773193,0.7287718653678894,0.8402654528617859,0.7190513014793396,0.7279229760169983,0.7269480228424072,0.7410064935684204,0.7293643355369568,0.06003046780824661,0.06003046780824661,0.026821216568350792,0.026821216568350792,0.07081863284111023,0.07081863284111023,7.076000213623047,7.076000213623047,5.340946197509766,5.340946197509766,7.639639854431152,7.639639854431152,1.0,1.0,0.2452,0.20267199999999996
11,52,0.7374226450920105,0.7287617325782776,0.8403424620628357,0.7232183814048767,0.7278479337692261,0.7269181609153748,0.740621030330658,0.7293775677680969,0.05858437344431877,0.05858437344431877,0.02686638943850994,0.02686638943850994,0.06917960196733475,0.06917960196733475,7.25600004196167,7.25600004196167,5.458466529846191,5.458466529846191,7.856456756591797,7.856456756591797,1.0,1.0,0.2504,0.199464
12,53,0.7379656434059143,0.7290250062942505,0.8352003693580627,0.718406081199646,0.7278872132301331,0.7269395589828491,0.7409760355949402,0.7296479344367981,0.061366405338048935,0.061366405338048935,0.02855638600885868,0.02855638600885868,0.07116679847240448,0.07116679847240448,7.593200206756592,7.593200206756592,5.716521739959717,5.716521739959717,8.153766632080078,8.153766632080078,1.0,1.0,0.23,0.20713999999999996
13,54,0.7336687445640564,0.7281890511512756,0.8308097720146179,0.7535069584846497,0.7272936701774597,0.7268705368041992,0.7391344904899597,0.7293195128440857,0.04442421719431877,0.04442421719431877,0.0216214656829834,0.0216214656829834,0.0639742761850357,0.0639742761850357,7.367199897766113,7.367199897766113,5.867417812347412,5.867417812347412,8.653045654296875,8.653045654296875,1.0,1.0,0.4616,0.131856
14,55,0.7366672158241272,0.7287132740020752,0.8416570425033569,0.7350494265556335,0.7276628017425537,0.7269060611724854,0.74100661277771,0.7295842170715332,0.054472655057907104,0.054472655057907104,0.02328615076839924,0.02328615076839924,0.0695020779967308,0.0695020779967308,7.066800117492676,7.066800117492676,5.08241081237793,5.08241081237793,8.023118019104004,8.023118019104004,1.0,1.0,0.3252,0.18394800000000003
15,56,0.739172637462616,0.7291625142097473,0.8503686785697937,0.7216361165046692,0.7281475067138672,0.7269442677497864,0.742451012134552,0.7298220992088318,0.06326796859502792,0.06326796859502792,0.028829896822571754,0.028829896822571754,0.07350824773311615,0.07350824773311615,7.368000030517578,7.368000030517578,4.774868965148926,4.774868965148926,8.139076232910156,8.139076232910156,1.0,1.0,0.2292,0.22690000000000005
16,57,0.7378054857254028,0.7287546992301941,0.8478268384933472,0.7209528088569641,0.7281203269958496,0.7270208597183228,0.7407839298248291,0.72928786277771,0.05826406180858612,0.05826406180858612,0.026908615604043007,0.026908615604043007,0.06790684908628464,0.06790684908628464,7.285600185394287,7.285600185394287,5.207482814788818,5.207482814788818,7.924685955047607,7.924685955047607,1.0,1.0,0.2352,0.20424799999999999
17,58,0.7399890422821045,0.7291741967201233,0.848305881023407,0.712605357170105,0.7279805541038513,0.7270148992538452,0.7426179051399231,0.7296469211578369,0.06649062782526016,0.06649062782526016,0.028670482337474823,0.028670482337474823,0.07477012276649475,0.07477012276649475,7.852799892425537,7.852799892425537,5.4832963943481445,5.4832963943481445,8.371525764465332,8.371525764465332,1.0,1.0,0.1796,0.24142400000000003
