run,seed,fulps_final_table_acc,base_final_table_acc,fulps_final_perstate,base_final_perstate,fulps_stable_tacc,base_stable_tacc,fulps_unstable_tacc,base_unstable_tacc,fulps_final_coverage,base_final_coverage,fulps_stable_coverage,base_stable_coverage,fulps_unstable_coverage,base_unstable_coverage,fulps_mean_conv_t,base_mean_conv_t,fulps_conv_fraction,base_conv_fraction,fulps_recovery_t,base_recovery_t,fulps_stable_recovery_t,base_stable_recovery_t,fulps_unstable_recovery_t,base_unstable_recovery_t,fulps_recovery_fraction,base_recovery_fraction,n_affected_observers,contra_pre_mean,contra_post_mean,contra_spike,stable_fraction,mean_contra_rate
1,42,0.6146289110183716,0.5981624722480774,0.8251037001609802,0.6679776310920715,0.598186731338501,0.5943709015846252,0.617077112197876,0.5987270474433899,0.09630390256643295,0.09630390256643295,0.0521375872194767,0.0521375872194767,0.10288014262914658,0.10288014262914658,6.783599853515625,6.783599853515625,1.0,1.0,103.70406341552734,124.06802368164062,119.6507339477539,127.82353210449219,101.52660369873047,123.55522155761719,0.8630742049469965,0.5817137809187279,0.9056,0.30348,0.40103999999999995,0.09755999999999992,0.1296,0.288184
2,43,0.6158320307731628,0.5989046692848206,0.8163703083992004,0.6654592156410217,0.598648190498352,0.5945650935173035,0.6177753210067749,0.5993954539299011,0.10277031362056732,0.10277031362056732,0.05607929453253746,0.05607929453253746,0.10805059969425201,0.10805059969425201,7.744800090789795,7.744800090789795,1.0,1.0,107.39177703857422,124.45474243164062,114.62188720703125,126.72637176513672,106.69510650634766,124.23585510253906,0.8688237866200262,0.6230870135548754,0.9148,0.25964,0.27255999999999997,0.012919999999999987,0.1016,0.29831466666666673
3,44,0.6163914203643799,0.5985601544380188,0.8214887976646423,0.6615391969680786,0.5997543931007385,0.5950552821159363,0.6178538203239441,0.5988682508468628,0.10398828238248825,0.10398828238248825,0.06123336777091026,0.06123336777091026,0.10774654895067215,0.10774654895067215,7.31279993057251,7.31279993057251,1.0,1.0,108.53225708007812,125.72406005859375,119.60344696044922,128.84483337402344,107.62358856201172,125.46792602539062,0.8561464690496948,0.5876198779424586,0.9176,0.26247999999999994,0.2914,0.028920000000000057,0.0808,0.305224
4,45,0.6177843809127808,0.5993468761444092,0.8192183375358582,0.6627368330955505,0.5990976095199585,0.5948466658592224,0.6192951798439026,0.5997107028961182,0.10935624688863754,0.10935624688863754,0.0617375485599041,0.0617375485599041,0.11320609599351883,0.11320609599351883,7.888400077819824,7.888400077819824,1.0,1.0,108.24967956542969,125.6282730102539,118.582275390625,127.93670654296875,107.49700164794922,125.46012115478516,0.8745165449076063,0.6115169746454663,0.9308,0.21516000000000002,0.25588,0.04071999999999998,0.0748,0.316176
5,46,0.6150945425033569,0.5985320210456848,0.816825807094574,0.6654565334320068,0.5992591381072998,0.5948208570480347,0.6171724796295166,0.5990189909934998,0.10135937482118607,0.10135937482118607,0.05641163885593414,0.05641163885593414,0.10725749284029007,0.10725749284029007,7.747600078582764,7.747600078582764,1.0,1.0,109.55748748779297,126.29370880126953,116.52520751953125,127.7520980834961,108.75520324707031,126.12578582763672,0.8620390455531454,0.6013015184381779,0.922,0.21927999999999997,0.22671999999999998,0.007440000000000002,0.116,0.2855893333333333
6,47,0.6134132742881775,0.5982445478439331,0.8038588166236877,0.6645516157150269,0.5976669788360596,0.5945226550102234,0.6160966157913208,0.598878800868988,0.09764843434095383,0.09764843434095383,0.05462847650051117,0.05462847650051117,0.10497955232858658,0.10497955232858658,7.696000099182129,7.696000099182129,1.0,1.0,112.93365478515625,127.95842742919922,122.93141174316406,130.13357543945312,111.53780364990234,127.65473937988281,0.8199911543564794,0.5785050862450243,0.9044,0.16576,0.22152000000000002,0.05576000000000003,0.1456,0.26299200000000006
7,48,0.6144171953201294,0.5975343585014343,0.8152433633804321,0.6556277275085449,0.5974969267845154,0.5936530232429504,0.6165684461593628,0.5980278253555298,0.0974070280790329,0.0974070280790329,0.05456975847482681,0.05456975847482681,0.1028534322977066,0.1028534322977066,7.99560022354126,7.99560022354126,1.0,1.0,103.27364349365234,122.83470916748047,112.00460815429688,122.08294677734375,102.3074951171875,122.91790008544922,0.837465564738292,0.5500459136822773,0.8712,0.29096,0.38376,0.0928,0.1128,0.2956586666666666
8,49,0.6150820255279541,0.5979328155517578,0.8241993188858032,0.6593124270439148,0.599616527557373,0.5945584177970886,0.616977870464325,0.598346471786499,0.09743046760559082,0.09743046760559082,0.05931633338332176,0.05931633338332176,0.10210274159908295,0.10210274159908295,7.214399814605713,7.214399814605713,1.0,1.0,100.75625610351562,123.69986724853516,108.6954574584961,123.55000305175781,99.87367248535156,123.71652221679688,0.878581173260573,0.5516143701682583,0.8796,0.3992,0.43464,0.03544000000000003,0.1092,0.30305866666666675
9,50,0.6154007911682129,0.5985367298126221,0.8226789236068726,0.6662404537200928,0.5990661382675171,0.5946230888366699,0.6176451444625854,0.5990744233131409,0.09956015646457672,0.09956015646457672,0.05762365460395813,0.05762365460395813,0.10532213002443314,0.10532213002443314,6.771599769592285,6.771599769592285,1.0,1.0,104.76177978515625,124.53620910644531,114.75318908691406,124.60425567626953,103.62032318115234,124.5284423828125,0.8795811518324608,0.5881326352530541,0.9168,0.3026,0.32032000000000005,0.01772000000000007,0.1208,0.2894986666666667
10,51,0.6133788824081421,0.597545325756073,0.8151135444641113,0.6603334546089172,0.5977025032043457,0.5938540101051331,0.6158297061920166,0.5981224179267883,0.09468593448400497,0.09468593448400497,0.05081014335155487,0.05081014335155487,0.10154533386230469,0.10154533386230469,7.076000213623047,7.076000213623047,1.0,1.0,107.3558578491211,125.19099426269531,114.9734878540039,127.76136016845703,106.32771301269531,124.84407043457031,0.8297297297297297,0.5536036036036036,0.888,0.2428,0.28035999999999994,0.037559999999999955,0.1352,0.27780799999999994
