run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
1,42,0.6005195379257202,0.620855450630188,0.6011812686920166,0.6687801480293274,0.8341503739356995,0.7407172918319702,0.08871896524923821,0.029092600829470794,0.011613955253317956,0.010179443046650694,-0.059626364419767416,-0.001434512206667262,0.0,0.0,0.4744,0.41331999999999997,-0.06108000000000002,0.311478,0.5012,0.03083999999999998,0.29796,0.3288,158.14891052246094,132.82986450195312,130.2888641357422,0.6489177489177489,0.8939393939393939,0.907563025210084,0.06153828278183937,0.1736,0.9092,0.296734
2,43,0.6001155972480774,0.618694543838501,0.6012343764305115,0.6641830205917358,0.8187257647514343,0.7323353290557861,0.12451349486186059,0.03938994982144032,0.012855667318037613,0.00353977402502508,-0.08512354504042027,-0.009315893293012533,0.0,0.0,0.46699999999999997,0.42188,-0.04511999999999999,0.323082,0.458,-0.03863999999999998,0.19068,0.15204,165.2865753173828,143.51316833496094,130.90382385253906,0.6158826068191627,0.8744065602071645,0.8914919852034525,0.06332187354564667,0.1908,0.8936,0.273598
3,44,0.5996086001396179,0.6188914179801941,0.6010375022888184,0.6611053943634033,0.822084367275238,0.733649730682373,0.21531939386508403,0.01429880156525321,0.020889355576586704,0.00687339965807491,-0.20102059229983082,-0.014015955918511794,0.0,0.0,0.488,0.4206,-0.06740000000000002,0.32339,0.5044,-0.01591999999999999,0.18059999999999998,0.16468,164.7935028076172,145.86146545410156,123.28443908691406,0.6177489177489177,0.8484848484848485,0.9400510204081632,0.0619804672896862,0.1648,0.9036,0.27273400000000003
4,45,0.5988336205482483,0.6168679594993591,0.6014156341552734,0.6626459956169128,0.8199146389961243,0.7332526445388794,0.21750013098595303,0.013950230891942562,0.011301322720009045,0.0037565711115391674,-0.20354990009401047,-0.0075447516084698775,0.0,0.0,0.48891999999999997,0.42991999999999997,-0.059,0.337492,0.4716,0.04715999999999998,0.16436,0.21151999999999999,161.26275634765625,140.36123657226562,125.248046875,0.5819158460161146,0.8267681289167412,0.9217877094972067,0.06432734429836273,0.2296,0.892,0.271826
5,46,0.5989062786102295,0.6175984144210815,0.6011359095573425,0.660810112953186,0.823941707611084,0.7352103590965271,0.07361911624235838,0.02934734406203965,0.012343300255099887,0.006499012882637964,-0.04427177218031873,-0.005844287372461923,0.0,0.0,0.48588,0.42672,-0.05915999999999999,0.327816,0.4764,0.045200000000000046,0.19072,0.23592000000000005,164.08596801757812,138.9674835205078,131.35511779785156,0.578173719376392,0.8570155902004455,0.9209694415173867,0.06267187744379044,0.1708,0.9104,0.26679
6,47,0.599135160446167,0.6161671876907349,0.6009601354598999,0.6645300984382629,0.8104243874549866,0.7324140071868896,0.09980040779634623,0.02370746163496579,0.02144106809578878,0.004622728032923001,-0.07609294616138045,-0.01681834006286578,0.0,0.0,0.48364,0.44403999999999993,-0.03960000000000008,0.325158,0.4912,-0.018880000000000008,0.19456,0.17568,167.30775451660156,146.6014862060547,121.55823516845703,0.5922840859272249,0.8465585269618588,0.9357429718875502,0.06199140474200249,0.2496,0.9068,0.244934
7,48,0.6004703044891357,0.6222359538078308,0.6010273694992065,0.6591277122497559,0.83077073097229,0.7291483283042908,0.10497678819046909,0.021717039460263578,0.013640027810216122,0.003234336676346184,-0.0832597487302055,-0.010405691133869938,0.0,0.0,0.4934,0.42560000000000003,-0.06779999999999997,0.326944,0.5068,0.05376000000000003,0.27055999999999997,0.32432,160.5613555908203,135.84117126464844,125.85662841796875,0.6166231505657093,0.8668407310704961,0.9127837514934289,0.06245781108736992,0.1312,0.9052,0.30748600000000004
8,49,0.6001468896865845,0.6235812306404114,0.6007742285728455,0.6542483568191528,0.8428529500961304,0.7326648831367493,0.09232697786667614,0.02742589736452638,0.006761735043612602,0.003505521080416726,-0.06490108050214977,-0.003256213963195876,0.0,0.0,0.48835999999999996,0.43904000000000004,-0.04931999999999992,0.321494,0.4788,0.06744,0.45095999999999997,0.5184,159.7249298095703,127.09756469726562,125.2493896484375,0.5700090334236676,0.8852755194218609,0.902200488997555,0.06063437461853027,0.0956,0.9152,0.328816
9,50,0.6000632643699646,0.6198609471321106,0.6011648178100586,0.6660875678062439,0.8314274549484253,0.7399420142173767,0.08740098793504619,0.013950303954501773,0.013472509119795004,0.004102450504222939,-0.07345068398054441,-0.009370058615572066,0.0,0.0,0.48552000000000006,0.43836,-0.047160000000000035,0.32876399999999995,0.494,0.023800000000000043,0.25627999999999995,0.28008,159.7542266845703,135.7121124267578,127.69139099121094,0.6348241424229266,0.8931828050369084,0.9007177033492823,0.061171092092990875,0.1868,0.9208,0.285154
10,51,0.5998304486274719,0.6186320185661316,0.6005312204360962,0.664511501789093,0.8215326070785522,0.734330415725708,0.13859431685189214,0.02649282002889773,0.019405091459111755,0.005193633813383428,-0.1121014968229944,-0.014211457645728327,0.0,0.0,0.44444,0.40212000000000003,-0.04231999999999997,0.307822,0.5192,0.022400000000000003,0.17472000000000001,0.19712000000000002,164.2752227783203,144.6531219482422,133.8732452392578,0.6387068588903452,0.8719965050240279,0.8797399783315276,0.05938437581062317,0.1852,0.9284,0.26861
