run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_post_peak,gate_spike_mean,gate_spike_peak,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
1,42,0.6005195379257202,0.620855450630188,0.6201601624488831,0.6687801480293274,0.8341503739356995,0.7953335642814636,0.08871896524923821,0.054055106831734395,0.011613955253317956,0.0010699047064853034,-0.034663858417503815,-0.010544050546832651,0.0,0.0,0.25071999999999994,0.20256,0.2536,-0.04815999999999995,0.002880000000000049,0.002880000000000049,0.14992,0.514,0.03083999999999998,0.29796,0.3288,158.14891052246094,132.82986450195312,114.8478012084961,0.6489177489177489,0.8939393939393939,0.9313471502590673,0.11626172065734863,0.1736,0.3304,0.296734
2,43,0.6001155972480774,0.618694543838501,0.6221827864646912,0.6641830205917358,0.8187257647514343,0.7954959869384766,0.12451349486186059,0.039870937743386556,0.012855667318037613,0.0017098947010257587,-0.08464255711847403,-0.011145772617011855,0.0,0.0,0.24016,0.19768,0.2216,-0.04248000000000002,-0.01856000000000002,-0.01856000000000002,0.148404,0.4792,-0.03863999999999998,0.19068,0.15204,165.2865753173828,143.51316833496094,115.51000213623047,0.6158826068191627,0.8744065602071645,0.926875,0.12450781464576721,0.1908,0.2448,0.273598
3,44,0.5996086001396179,0.6188914179801941,0.6227273344993591,0.6611053943634033,0.822084367275238,0.7959150671958923,0.21531939386508403,0.049517781669309265,0.020889355576586704,0.001501574275444615,-0.16580161219577477,-0.01938778130114209,0.0,0.0,0.21684,0.17367999999999997,0.2128,-0.04316000000000003,-0.004040000000000016,-0.004040000000000016,0.14324399999999998,0.4928,-0.01591999999999999,0.18059999999999998,0.16468,164.7935028076172,145.86146545410156,116.86077117919922,0.6177489177489177,0.8484848484848485,0.9134382566585957,0.12496484071016312,0.1648,0.2488,0.27273400000000003
4,45,0.5988336205482483,0.6168679594993591,0.6217304468154907,0.6626459956169128,0.8199146389961243,0.793437123298645,0.21750013098595303,0.0563711970649444,0.011301322720009045,0.0020400372763534364,-0.16112893392100863,-0.009261285443655608,0.0,0.0,0.22611999999999996,0.1722,0.2104,-0.05391999999999997,-0.015719999999999956,-0.015719999999999956,0.14998799999999998,0.482,0.04715999999999998,0.16436,0.21151999999999999,161.26275634765625,140.36123657226562,121.86627197265625,0.5819158460161146,0.8267681289167412,0.8919402985074627,0.1231750026345253,0.2296,0.2656,0.271826
5,46,0.5989062786102295,0.6175984144210815,0.6215242147445679,0.660810112953186,0.823941707611084,0.795738935470581,0.07361911624235838,0.029414686713573675,0.012343300255099887,0.004233007383994325,-0.04420442952878471,-0.008110292871105563,0.0,0.0,0.2242,0.1718,0.218,-0.0524,-0.006200000000000011,-0.006200000000000011,0.140684,0.4932,0.045200000000000046,0.19072,0.23592000000000005,164.08596801757812,138.9674835205078,118.3316421508789,0.578173719376392,0.8570155902004455,0.9120253164556962,0.12134374678134918,0.1708,0.27,0.26679
6,47,0.599135160446167,0.6161671876907349,0.6222648620605469,0.6645300984382629,0.8104243874549866,0.7936429977416992,0.09980040779634623,0.053726891622088754,0.02144106809578878,0.0037554886521518976,-0.04607351617425748,-0.017685579443636884,0.0,0.0,0.2112,0.17476,0.214,-0.03644,0.002799999999999997,0.002799999999999997,0.14275,0.5032,-0.018880000000000008,0.19456,0.17568,167.30775451660156,146.6014862060547,117.87515258789062,0.5922840859272249,0.8465585269618588,0.9122373300370828,0.12415781617164612,0.2496,0.2716,0.244934
7,48,0.6004703044891357,0.6222359538078308,0.6241781115531921,0.6591277122497559,0.83077073097229,0.798728346824646,0.10497678819046909,0.0455526577670556,0.013640027810216122,0.0014288118535401852,-0.05942413042341348,-0.012211215956675937,0.0,0.0,0.22296,0.18452000000000002,0.2172,-0.038439999999999974,-0.005759999999999987,-0.005759999999999987,0.149084,0.5092,0.05376000000000003,0.27055999999999997,0.32432,160.5613555908203,135.84117126464844,113.31257629394531,0.6166231505657093,0.8668407310704961,0.9395604395604396,0.13046172261238098,0.1312,0.1992,0.30748600000000004
8,49,0.6001468896865845,0.6235812306404114,0.6191046833992004,0.6542483568191528,0.8428529500961304,0.7889594435691833,0.09232697786667614,0.03726991930661557,0.006761735043612602,0.008998362320766659,-0.055057058560060566,0.0022366272771540572,0.0,0.0,0.24924000000000004,0.20611999999999994,0.2552,-0.0431200000000001,0.005959999999999938,0.005959999999999938,0.146656,0.5084,0.06744,0.45095999999999997,0.5184,159.7249298095703,127.09756469726562,117.88626098632812,0.5700090334236676,0.8852755194218609,0.9111821086261981,0.11450234055519104,0.0956,0.3396,0.328816
9,50,0.6000632643699646,0.6198609471321106,0.6191835999488831,0.6660875678062439,0.8314274549484253,0.7916190028190613,0.08740098793504619,0.04114522314600168,0.013472509119795004,0.001402757443825897,-0.046255764789044515,-0.012069751675969107,0.0,0.0,0.25736,0.19995999999999997,0.2348,-0.05740000000000001,-0.02255999999999997,-0.02255999999999997,0.154356,0.4976,0.023800000000000043,0.25627999999999995,0.28008,159.7542266845703,135.7121124267578,117.94143676757812,0.6348241424229266,0.8931828050369084,0.9146417445482866,0.11440625041723251,0.1868,0.3536,0.285154
10,51,0.5998304486274719,0.6186320185661316,0.6232101321220398,0.664511501789093,0.8215326070785522,0.7969459891319275,0.13859431685189214,0.04091306418606732,0.019405091459111755,0.0034724239430295547,-0.09768125266582481,-0.0159326675160822,0.0,0.0,0.22643999999999997,0.17916,0.2152,-0.04727999999999996,-0.011239999999999972,-0.011239999999999972,0.15048000000000003,0.5012,0.022400000000000003,0.17472000000000001,0.19712000000000002,164.2752227783203,144.6531219482422,116.04962158203125,0.6387068588903452,0.8719965050240279,0.9252772913018097,0.1265343725681305,0.1852,0.2504,0.26861
