run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,base_final_perstate,learn_final_perstate,gate_final_perstate,cv_base_pre,cv_gate_pre,cv_base_post,cv_gate_post,cv_gate_pre_minus_base,cv_gate_post_minus_base,collapse_base,collapse_gate,gate_pre_mean,gate_post_mean,gate_spike,gate_mean_overall,grid_divergence,contra_spike,contra_pre_mean,contra_post_mean,base_recovery_t,learn_recovery_t,gate_recovery_t,base_recovery_frac,learn_recovery_frac,gate_recovery_frac,gate_final_coverage,stable_fraction_std,stable_fraction_gate,mean_contra_rate
1,42,0.6005195379257202,0.620855450630188,0.5996359586715698,0.6687801480293274,0.8341503739356995,0.7285236716270447,0.0887189652492382,0.0236629363404806,0.0116139552533179,0.0042160554567732,-0.0650560289087575,-0.0073978997965447,0.0,0.0,0.48636,0.44164,-0.0447199999999999,0.32891,0.4952,0.0308399999999999,0.29796,0.3288,158.14891052246094,132.82986450195312,122.7384033203125,0.6489177489177489,0.8939393939393939,0.9417360285374554,0.0571976564824581,0.1736,0.9516,0.296734
2,43,0.6001155972480774,0.618694543838501,0.6002343893051147,0.6641830205917358,0.8187257647514343,0.7209585905075073,0.1245134948618605,0.0192520620344764,0.0128556673180376,0.0039301603810442,-0.1052614328273841,-0.0089255069369933,0.0,0.0,0.5051200000000001,0.43428,-0.07084,0.338564,0.4944,-0.0386399999999999,0.19068,0.15204,165.2865753173828,143.51316833496094,126.49398803710938,0.6158826068191627,0.8744065602071645,0.9447115384615384,0.0616085939109325,0.1908,0.934,0.273598
3,44,0.5996086001396179,0.6188914179801941,0.5994859337806702,0.6611053943634033,0.822084367275238,0.7224393486976624,0.215319393865084,0.0136106826328189,0.0208893555765867,0.0027797311117238,-0.2017087112322651,-0.0181096244648628,0.0,0.0,0.47828,0.42116,-0.05712,0.34158,0.51,-0.0159199999999999,0.1805999999999999,0.16468,164.7935028076172,145.86146545410156,123.4775390625,0.6177489177489177,0.8484848484848485,0.9460847240051348,0.0565031245350837,0.1648,0.9572,0.272734
4,45,0.5988336205482483,0.6168679594993591,0.5996968746185303,0.6626459956169128,0.8199146389961243,0.7200422883033752,0.217500130985953,0.0181051071169246,0.011301322720009,0.006601943710066,-0.1993950238690283,-0.004699379009943,0.0,0.0,0.4876,0.42504,-0.06256,0.336148,0.4992,0.0471599999999999,0.16436,0.2115199999999999,161.26275634765625,140.36123657226562,123.50955200195312,0.5819158460161146,0.8267681289167412,0.9337579617834396,0.0589460954070091,0.2296,0.9548,0.271826
5,46,0.5989062786102295,0.6175984144210815,0.6000195145606995,0.660810112953186,0.823941707611084,0.7204309701919556,0.0736191162423583,0.0169399725215378,0.0123433002550998,0.0031126207936498,-0.0566791437208205,-0.00923067946145,0.0,0.0,0.49044,0.43792,-0.05252,0.3390019999999999,0.4868,0.0452,0.19072,0.23592,164.08596801757812,138.9674835205078,122.1892547607422,0.578173719376392,0.8570155902004455,0.9310747663551402,0.0597828142344951,0.1708,0.9516,0.26679
6,47,0.599135160446167,0.6161671876907349,0.5998625159263611,0.6645300984382629,0.8104243874549866,0.718262255191803,0.0998004077963462,0.0093852348354945,0.0214410680957887,0.0118601114031959,-0.0904151729608516,-0.0095809566925928,0.0,0.0,0.4651199999999999,0.4248,-0.0403199999999999,0.328976,0.4796,-0.01888,0.19456,0.17568,167.30775451660156,146.6014862060547,131.5498504638672,0.5922840859272249,0.8465585269618588,0.9003021148036254,0.059261716902256,0.2496,0.9532,0.244934
7,48,0.6004703044891357,0.6222359538078308,0.5998062491416931,0.6591277122497559,0.83077073097229,0.7185086607933044,0.104976788190469,0.0127460113836263,0.0136400278102161,0.0039687535831231,-0.0922307768068427,-0.0096712742270929,0.0,0.0,0.51368,0.4533999999999999,-0.06028,0.338692,0.5056,0.05376,0.2705599999999999,0.32432,160.5613555908203,135.84117126464844,123.69259643554688,0.6166231505657093,0.8668407310704961,0.933500627352572,0.0594351552426815,0.1312,0.9456,0.307486
8,49,0.6001468896865845,0.6235812306404114,0.5999382734298706,0.6542483568191528,0.8428529500961304,0.7209702134132385,0.0923269778666761,0.0261153602733953,0.0067617350436126,0.0046828833989092,-0.0662116175932807,-0.0020788516447033,0.0,0.0,0.5151999999999999,0.44036,-0.0748399999999999,0.3386639999999999,0.4784,0.06744,0.4509599999999999,0.5184,159.7249298095703,127.09756469726562,125.02600860595705,0.5700090334236676,0.8852755194218609,0.9336801040312094,0.0592945329844951,0.0956,0.9524,0.328816
9,50,0.6000632643699646,0.6198609471321106,0.6000882983207703,0.6660875678062439,0.8314274549484253,0.7294654846191406,0.0874009879350461,0.0193863175210163,0.013472509119795,0.0031910244191871,-0.0680146704140298,-0.0102814847006078,0.0,0.0,0.51172,0.4556,-0.0561199999999999,0.34173,0.4976,0.0238,0.2562799999999999,0.28008,159.7542266845703,135.7121124267578,119.33016967773438,0.6348241424229266,0.8931828050369084,0.9655581947743468,0.0585789047181606,0.1868,0.96,0.285154
10,51,0.5998304486274719,0.6186320185661316,0.5996078252792358,0.664511501789093,0.8215326070785522,0.7245710492134094,0.1385943168518921,0.0104139204114064,0.0194050914591117,0.002293255453088,-0.1281803964404856,-0.0171118360060237,0.0,0.0,0.4872000000000001,0.4216,-0.0656,0.342346,0.4808,0.0224,0.17472,0.19712,164.2752227783203,144.6531219482422,125.11715698242188,0.6387068588903452,0.8719965050240279,0.9242603550295858,0.0572953112423419,0.1852,0.9604,0.26861
